"PriceAdjust Module","Ajuste de Preços Módulo"
"Price Adjust","Ajuste de Preços"
"Mass Price Adjust","Ajuste de Preços em Lote"
"Mass Adjust","Ajustar Lote"
"Preview","Pré Visualizar"
"Settings","Configurações"
"Products","Produtos"
"All","Todos"
"Products Selected","Produtos Selecionados"
"Source Site","Site Origem"
"Target Site","Site Destino"
"Save Rules","Salvar Regras"
"Markup Rules","Regras de Aplicação"
"Begin Weight","Peso Inicial"
"End Weight","Peso Final"
"Type","Tipo"
"Value","Valor"
"Action","Ações"
"Delete","Excluir"
"Add Rule","Adicionar Regra"
"Price Adjustments","Ajustes de Preço"
"Product ID","Produto ID"
"SKU","SKU"
"Name","Nome"
"Weight","Peso"
"Original Price","Preço Original"
"Percent Change","Porcentagem de Alteração"
"Difference","Diferença"
"New Price","Novo Preço"
"Multiply","Multiplicar"
"Addition","Adicionar"
"Subtract","Subtrair"
"Divide","Dividir"
"Price is derived from the corresponding product within the <b>Source</b> site. The first rule the weight falls between, the price is multiplied against the <b>Multiple</b> and set as the price of the product at the <b>Target</b> site. If the product does not exist at either the target or source site, the adjustment is not applied. Also, if the weight is not found within the rules, the adjustment is not applied.","O preço é derivado do produto correspondente no site <b>Origem</b>. A primeira regra entre a ponderação e o preço é multiplicado pelo <b>Múltiplo</b> e definido como o preço do produto no site <b>Alvo</b>. Se o produto não existir no site de destino ou de origem, o ajuste não será aplicado. Além disso, se o peso não for encontrado dentro das regras, o ajuste não será aplicado."
